Dense Rank,Dense Rank Movement,Standard Rank,Standard Rank Movement,Username,Display Name,Winner_Week1,Winner_Week2,Winner_Week3,Winner_Week4,Winner_Week5,Winner_Week6,Margin_Week6,Winner_Week7,Margin_Week7,Total
1,—,1,—,jadelessbarukan,jadeless,5.0,7.0,10.0,12.0,10.0,5.0,9.0,3.0,0.0,61.0
2,↑1,2,↑1,thewebshooter,TheWebShooter,4.0,5.0,8.0,10.0,4.0,7.0,6.0,4.0,6.0,54.0
3,↓1,3,↓1,maverick7749,Mav,7.0,2.0,6.5,10.0,9.0,5.0,6.0,2.0,3.0,50.5
4,—,4,—,tushar07019,,2.0,6.0,6.5,7.0,11.0,8.0,3.0,4.0,0.0,47.5
5,↑1,5,↑1,light_itachi_op,Lassi Sassy,3.0,6.0,7.5,7.0,7.0,7.0,3.0,2.0,3.0,45.5
5,↑3,5,↑3,roguehunter15,RogueHunter,3.0,5.0,5.5,3.0,8.0,8.0,6.0,4.0,3.0,45.5
5,—,5,—,thefarzi,Farzi,3.0,6.0,7.5,10.0,7.0,8.0,0.0,4.0,0.0,45.5
6,↑3,8,↑1,slidemaster0547,Jason Duval,2.0,6.0,7.0,6.0,8.0,6.0,3.0,4.0,3.0,45.0
7,↑4,9,↑4,static_25,Static,4.0,6.0,3.5,9.0,5.0,6.0,3.0,5.0,3.0,44.5
8,↑2,10,↑1,apurv5411,APURV,0.0,0.0,6.5,8.0,9.0,8.0,6.0,3.0,3.0,43.5
9,↑1,11,—,fezvaz,Vaz,1.0,3.0,6.5,8.0,8.0,8.0,3.0,4.0,0.0,41.5
9,↓2,11,↓4,khanatfarm,KHANatFARM,3.0,6.0,5.5,8.0,7.0,7.0,3.0,2.0,0.0,41.5
10,↑2,13,↑1,crazybats_v,Casper,4.0,4.0,8.0,6.0,7.0,7.0,0.0,5.0,0.0,41.0
11,↑3,14,↑2,gooffyluffyy,Luffy,1.0,7.0,4.5,5.0,4.0,4.0,9.0,3.0,3.0,40.5
11,↑2,14,↑1,insane_dwane,Insane_Dwane,2.0,0.0,8.5,5.0,9.0,8.0,3.0,5.0,0.0,40.5
12,↑4,16,↑4,emptycases,J,0.0,3.0,7.5,4.0,8.0,8.0,0.0,3.0,6.0,39.5
13,↑1,17,↓1,hungry_wolf,HungrY WolF,3.0,4.0,6.5,4.0,2.0,6.0,9.0,4.0,0.0,38.5
13,↑1,17,↓1,vahgar,Beluga,2.0,5.0,3.5,10.0,3.0,5.0,6.0,4.0,0.0,38.5
14,↑3,19,↑2,gladiator30,Gladiator,1.0,2.0,7.0,5.0,6.0,6.0,3.0,5.0,3.0,38.0
14,↓5,19,↓10,rishavmaiti,rishavmaiti,1.0,4.0,6.0,11.0,5.0,5.0,6.0,0.0,0.0,38.0
15,—,21,↓2,astrobot_7,PS_USER,0.0,7.0,6.0,6.0,2.0,4.0,9.0,3.0,0.0,37.0
16,↑6,22,↑5,max._.caulfield,Max,6.0,1.0,3.0,1.0,4.0,8.0,3.0,5.0,3.0,34.0
17,↑1,23,—,reflekt_11,Reflekt,0.0,6.0,4.5,3.0,9.0,6.0,0.0,5.0,0.0,33.5
