Dense Rank,Dense Rank Movement,Standard Rank,Standard Rank Movement,Username,Display Name,Week6,Total
1,N,1,N,astrobot_7,PS_USER,9.0,9.0
1,N,1,N,csharp21,CSharp,9.0,9.0
1,N,1,N,gooffyluffyy,Luffy,9.0,9.0
1,N,1,N,hungry_wolf,HungrY WolF,9.0,9.0
1,N,1,N,jadelessbarukan,jadeless,9.0,9.0
2,N,6,N,apurv5411,APURV,6.0,6.0
2,N,6,N,maverick7749,Mav,6.0,6.0
2,N,6,N,rishavmaiti,rishavmaiti,6.0,6.0
2,N,6,N,roguehunter15,RogueHunter,6.0,6.0
2,N,6,N,sriprakash,Sri Prakash,6.0,6.0
2,N,6,N,thewebshooter,TheWebShooter,6.0,6.0
2,N,6,N,vahgar,Allen The Alien,6.0,6.0
3,N,13,N,fezvaz,Vaz,3.0,3.0
3,N,13,N,gane_sh,Gane_sh,3.0,3.0
3,N,13,N,gladiator30,Gladiator,3.0,3.0
3,N,13,N,insane_dwane,Insane_Dwane,3.0,3.0
3,N,13,N,jubilant_chipmunk_76062,,3.0,3.0
3,N,13,N,khanatfarm,KHANatFARM,3.0,3.0
3,N,13,N,light_itachi_op,Lassi Sassy,3.0,3.0
3,N,13,N,lokim_,lokim,3.0,3.0
3,N,13,N,max._.caulfield,Max,3.0,3.0
3,N,13,N,psudorandom,psudorandom,3.0,3.0
3,N,13,N,roarycat,RoaryCat,3.0,3.0
3,N,13,N,slidemaster0547,Slide Master,3.0,3.0
3,N,13,N,static_25,Static,3.0,3.0
3,N,13,N,tushar07019,,3.0,3.0
4,N,27,N,aaryangupta23,Aaryan,0.0,0.0
4,N,27,N,billuda,BILLUDA,0.0,0.0
4,N,27,N,cdgamers14,cdgamers😎,0.0,0.0
4,N,27,N,crazybats_v,Casper,0.0,0.0
4,N,27,N,dag_21,daggr,0.0,0.0
4,N,27,N,deadshot06.,,0.0,0.0
4,N,27,N,emptycases,J,0.0,0.0
4,N,27,N,gamerpradosh,Gamer Pradosh,0.0,0.0
4,N,27,N,iamzeus,iAmZeus,0.0,0.0
4,N,27,N,jerry0_o,Jerry0_0,0.0,0.0
4,N,27,N,joe_._mama,joe mama,0.0,0.0
4,N,27,N,lelouch1806,lelouch,0.0,0.0
4,N,27,N,pkmkb6011,Victor,0.0,0.0
4,N,27,N,reflekt_11,Reflekt,0.0,0.0
4,N,27,N,rithav,Arun Rithav,0.0,0.0
4,N,27,N,shadow0403bsr,shadow43,0.0,0.0
4,N,27,N,shieldofachielles,shield of Achielles,0.0,0.0
4,N,27,N,thefarzi,Farzi,0.0,0.0
4,N,27,N,weezyf.baby_,WEEZY F. Baby,0.0,0.0
