Dense Rank,Dense Rank Movement,Standard Rank,Standard Rank Movement,Username,Display Name,Week6,Week7,Total
1,—,1,—,gooffyluffyy,Luffy,9.0,3.0,12.0
1,↑1,1,↑5,thewebshooter,TheWebShooter,6.0,6.0,12.0
2,—,3,↑3,apurv5411,APURV,6.0,3.0,9.0
2,↓1,3,↓2,astrobot_7,PS_USER,9.0,0.0,9.0
2,↓1,3,↓2,csharp21,CSharp,9.0,0.0,9.0
2,↓1,3,↓2,hungry_wolf,HungrY WolF,9.0,0.0,9.0
2,↓1,3,↓2,jadelessbarukan,jadeless,9.0,0.0,9.0
2,—,3,↑3,maverick7749,Mav,6.0,3.0,9.0
2,—,3,↑3,roguehunter15,RogueHunter,6.0,3.0,9.0
3,↑1,10,↑17,emptycases,J,0.0,6.0,6.0
3,—,10,↑3,gane_sh,Gane_sh,3.0,3.0,6.0
3,—,10,↑3,gladiator30,Gladiator,3.0,3.0,6.0
3,—,10,↑3,light_itachi_op,Lassi Sassy,3.0,3.0,6.0
3,—,10,↑3,max._.caulfield,Max,3.0,3.0,6.0
3,↓1,10,↓4,rishavmaiti,rishavmaiti,6.0,0.0,6.0
3,—,10,↑3,slidemaster0547,Jason Duval,3.0,3.0,6.0
3,↓1,10,↓4,sriprakash,Sri Prakash,6.0,0.0,6.0
3,—,10,↑3,static_25,Static,3.0,3.0,6.0
3,↓1,10,↓4,vahgar,Beluga,6.0,0.0,6.0
4,—,20,↑7,billuda,BILLUDA,0.0,3.0,3.0
4,—,20,↑7,cdgamers14,cdgamers😎,0.0,3.0,3.0
4,↓1,20,↓7,fezvaz,Vaz,3.0,0.0,3.0
4,↓1,20,↓7,insane_dwane,Insane_Dwane,3.0,0.0,3.0
4,↓1,20,↓7,jubilant_chipmunk_76062,,3.0,0.0,3.0
4,↓1,20,↓7,khanatfarm,KHANatFARM,3.0,0.0,3.0
4,↓1,20,↓7,lokim_,lokim,3.0,0.0,3.0
4,N,20,N,oracle_priest,oracle_priest,0.0,3.0,3.0
4,—,20,↑7,pkmkb6011,Sunny Paaji,0.0,3.0,3.0
4,↓1,20,↓7,psudorandom,psudorandom,3.0,0.0,3.0
4,↓1,20,↓7,roarycat,RoaryCat,3.0,0.0,3.0
4,↓1,20,↓7,tushar07019,,3.0,0.0,3.0
5,N,32,N,_simplet0n,ZePHyR,0.0,0.0,0.0
5,↓1,32,↓5,aaryangupta23,Aaryan,0.0,0.0,0.0
5,N,32,N,ashmrth,Ashmrth,0.0,0.0,0.0
5,↓1,32,↓5,crazybats_v,Casper,0.0,0.0,0.0
5,↓1,32,↓5,dag_21,daggr,0.0,0.0,0.0
5,N,32,N,darkwolf_newbie,Darkwolf,0.0,0.0,0.0
5,↓1,32,↓5,deadshot06.,,0.0,0.0,0.0
5,N,32,N,dhanda_,Hank Schrader,0.0,0.0,0.0
5,N,32,N,elprofesor6338,Èl Profesor™,0.0,0.0,0.0
5,↓1,32,↓5,gamerpradosh,Gamer Pradosh,0.0,0.0,0.0
5,↓1,32,↓5,iamzeus,iAmZeus,0.0,0.0,0.0
5,N,32,N,ind_mafia_sahil,IND_Mafia_Sahil,0.0,0.0,0.0
5,N,32,N,indianduder,boring-life,0.0,0.0,0.0
5,↓1,32,↓5,jerry0_o,Jerry0_0,0.0,0.0,0.0
5,↓1,32,↓5,joe_._mama,joe mama,0.0,0.0,0.0
5,↓1,32,↓5,lelouch1806,lelouch,0.0,0.0,0.0
5,N,32,N,milkanananaannanan,Milk,0.0,0.0,0.0
5,↓1,32,↓5,reflekt_11,Reflekt,0.0,0.0,0.0
5,↓1,32,↓5,rithav,Arun Rithav,0.0,0.0,0.0
5,↓1,32,↓5,shadow0403bsr,shadow43,0.0,0.0,0.0
5,↓1,32,↓5,shieldofachielles,shield of Achielles,0.0,0.0,0.0
5,↓1,32,↓5,thefarzi,Farzi,0.0,0.0,0.0
5,N,32,N,vinnu7980,Vinnu,0.0,0.0,0.0
5,↓1,32,↓5,weezyf.baby_,WEEZY F. Baby,0.0,0.0,0.0
