Dense Rank,Dense Rank Movement,Standard Rank,Standard Rank Movement,Username,Display Name,Week1,Week2,Week3,Week4,Total
1,—,1,—,jadelessbarukan,jadeless,5.0,7.0,10.0,12.0,34.0
2,—,2,—,thewebshooter,TheWebShooter,4.0,5.0,8.0,10.0,27.0
3,—,3,—,thefarzi,Farzi,3.0,6.0,7.5,10.0,26.5
4,↑1,4,↑3,maverick7749,Mav,7.0,2.0,6.5,10.0,25.5
5,↓2,5,↓2,light_itachi_op,Lassi Lover,3.0,6.0,7.5,7.0,23.5
6,↓3,6,↓3,billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,3.0,4.0,9.5,6.0,22.5
6,↑1,6,↑4,khanatfarm,KHANatFARM,3.0,6.0,5.5,8.0,22.5
6,↑3,6,↑7,static_25,Static,4.0,6.0,3.5,9.0,22.5
7,↓3,9,↓3,crazybats_v,Casper,4.0,4.0,8.0,6.0,22.0
7,↑5,9,↑9,rishavmaiti,rishavmaiti,1.0,4.0,6.0,11.0,22.0
7,↑1,9,↑3,roarycat,RoaryCat,2.0,7.0,5.0,8.0,22.0
8,↓1,12,↓2,tushar07019,,2.0,6.0,6.5,7.0,21.5
9,↓3,13,↓5,ind_mafia_sahil,IND_Mafia_Sahil,3.0,3.0,9.0,6.0,21.0
9,↓3,13,↓5,slidemaster0547,Slide Master,2.0,6.0,7.0,6.0,21.0
10,↑3,15,↑5,vahgar,Allen The Alien,2.0,5.0,3.5,10.0,20.5
11,↓1,16,—,astrobot_7,PS_USER,0.0,7.0,6.0,6.0,19.0
12,↑1,17,↑3,fezvaz,Vaz,1.0,3.0,6.5,8.0,18.5
13,↓2,18,↓1,gooffyluffyy,Luffy,1.0,7.0,4.5,5.0,17.5
13,↓4,18,↓5,hungry_wolf,HungrY_WolF,3.0,4.0,6.5,4.0,17.5
13,↑2,18,↑9,the_mizer,DrVimp,1.0,3.0,5.5,8.0,17.5
14,↑2,21,↑7,elprofesor6338,Èl Profesor™,0.0,4.0,4.0,9.0,17.0
15,↓6,22,↓9,roguehunter15,RogueHunter,3.0,5.0,5.5,3.0,16.5
16,↓3,23,↓3,insane_dwane,Insane_Dwane,2.0,0.0,8.5,5.0,15.5
17,↓3,24,↑1,gladiator30,Gladiator,1.0,2.0,7.0,5.0,15.0
18,↑1,25,↑8,apurv5411,APURV,0.0,0.0,6.5,8.0,14.5
18,↓5,25,↓5,emptycases,J,0.0,3.0,7.5,4.0,14.5
19,↓6,27,↓7,reflekt_11,Reflekt,0.0,6.0,4.5,3.0,13.5
20,↓8,28,↓10,sriprakash,Sri Prakash,0.0,6.0,5.0,2.0,13.0
21,↓4,29,↑1,dag_21,daggr,0.0,4.0,3.5,5.0,12.5
22,↓6,30,↓2,darkwolf_newbie,Darkwolf,1.0,4.0,3.0,4.0,12.0
23,↓9,31,↓6,max._.caulfield,Max,6.0,1.0,3.0,1.0,11.0
24,↓6,32,↓1,csharp21,CSharp,0.0,4.0,3.0,2.0,9.0
25,↑3,33,↑32,fullmetal77,FullMetal77,0.0,0.0,0.0,8.0,8.0
25,↓2,33,↑7,gane_sh,Gane_sh,0.0,3.0,0.0,5.0,8.0
25,↓7,33,↓2,pkmkb6011,Sunny Paaji,2.0,2.0,3.0,1.0,8.0
26,↓1,36,↑9,kakashi019805,Kakashi,0.0,0.0,2.0,5.0,7.0
27,↓8,37,↓4,iamthathit,IamthatHit,0.0,3.0,3.5,0.0,6.5
28,↓8,38,↓3,ashmrth,Ashmrth,4.0,1.0,0.0,1.0,6.0
28,↓3,38,↑7,harish_datta_,Harish_datta_,0.0,0.0,2.0,4.0,6.0
29,↓9,40,↓5,croco_boya,Croco,1.0,4.0,0.0,0.0,5.0
29,↓1,40,↑25,gamerpradosh,Gamer Pradosh,0.0,0.0,0.0,5.0,5.0
29,N,40,N,samarp30,Samarp30,0.0,0.0,0.0,5.0,5.0
30,N,43,N,aaryangupta23,Aaryan,0.0,0.0,0.0,4.0,4.0
30,↓5,43,↑2,deadshot06.,,0.0,0.0,2.0,2.0,4.0
30,↓9,43,↓6,fawaz4413,,1.0,1.0,2.0,0.0,4.0
30,N,43,N,levi_taicho,levi_taicho,0.0,0.0,0.0,4.0,4.0
30,↓9,43,↓6,vader8726,vader,3.0,1.0,0.0,0.0,4.0
31,↓9,48,↓9,cdgamers14,cdgamers😎,0.0,2.0,1.5,0.0,3.5
31,↓7,48,↓5,lelouch1806,lelouch,0.0,1.0,1.5,1.0,3.5
