Dense Rank,Dense Rank Movement,Standard Rank,Standard Rank Movement,Username,Display Name,Week1,Week2,Week3,Week4,Week5,Week6,Total
1,—,1,—,jadelessbarukan,jadeless,5.0,7.0,10.0,12.0,10.0,5.0,49.0
2,↑1,2,↑1,thefarzi,Farzi,3.0,6.0,7.5,10.0,7.0,8.0,41.5
3,↑1,3,↑1,tushar07019,,2.0,6.0,6.5,7.0,11.0,8.0,40.5
4,↓2,4,↓2,maverick7749,Mav,7.0,2.0,6.5,10.0,9.0,5.0,39.5
5,—,5,—,thewebshooter,TheWebShooter,4.0,5.0,8.0,10.0,4.0,7.0,38.0
6,—,6,—,light_itachi_op,Lassi Sassy,3.0,6.0,7.5,7.0,7.0,7.0,37.5
7,—,7,—,khanatfarm,KHANatFARM,3.0,6.0,5.5,8.0,7.0,7.0,36.5
8,—,8,—,crazybats_v,Casper,4.0,4.0,8.0,6.0,7.0,7.0,36.0
9,↓1,9,↓1,slidemaster0547,Slide Master,2.0,6.0,7.0,6.0,8.0,6.0,35.0
10,↑1,10,↑2,fezvaz,Vaz,1.0,3.0,6.5,8.0,8.0,8.0,34.5
11,↓2,11,↓1,static_25,Static,4.0,6.0,3.5,9.0,5.0,6.0,33.5
12,—,12,↑1,insane_dwane,Insane_Dwane,2.0,0.0,8.5,5.0,9.0,8.0,32.5
12,—,12,↑1,roguehunter15,RogueHunter,3.0,5.0,5.5,3.0,8.0,8.0,32.5
13,↓3,14,↓3,rishavmaiti,rishavmaiti,1.0,4.0,6.0,11.0,5.0,5.0,32.0
14,—,15,↑2,apurv5411,APURV,0.0,0.0,6.5,8.0,9.0,8.0,31.5
15,—,16,↑3,emptycases,J,0.0,3.0,7.5,4.0,8.0,8.0,30.5
16,↓1,17,↑2,reflekt_11,Reflekt,0.0,6.0,4.5,3.0,9.0,6.0,28.5
16,↓2,17,—,vahgar,Allen The Alien,2.0,5.0,3.5,10.0,3.0,5.0,28.5
17,↑1,19,↑5,gladiator30,Gladiator,1.0,2.0,7.0,5.0,6.0,6.0,27.0
18,↓6,20,↓7,billuda,BILLUDA,3.0,4.0,9.5,6.0,2.0,2.0,26.5
19,↓2,21,↑1,gooffyluffyy,Luffy,1.0,7.0,4.5,5.0,4.0,4.0,25.5
19,—,21,↑6,hungry_wolf,HungrY WolF,3.0,4.0,6.5,4.0,2.0,6.0,25.5
20,↓2,23,↑1,astrobot_7,PS_USER,0.0,7.0,6.0,6.0,2.0,4.0,25.0
20,↓7,23,↓7,roarycat,RoaryCat,2.0,7.0,5.0,8.0,2.0,1.0,25.0
21,↓1,25,↑3,sriprakash,Sri Prakash,0.0,6.0,5.0,2.0,5.0,6.0,24.0
22,↓1,26,↑3,max._.caulfield,Max,6.0,1.0,3.0,1.0,4.0,8.0,23.0
