Dense Rank,Dense Rank Movement,Standard Rank,Standard Rank Movement,Username,Display Name,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Total
1,—,1,—,jadelessbarukan,jadeless,5.0,7.0,10.0,12.0,10.0,5.0,3.0,52.0
2,—,2,—,thefarzi,Farzi,3.0,6.0,7.5,10.0,7.0,8.0,4.0,45.5
3,—,3,—,tushar07019,,2.0,6.0,6.5,7.0,11.0,8.0,4.0,44.5
4,↑1,4,↑1,thewebshooter,TheWebShooter,4.0,5.0,8.0,10.0,4.0,7.0,4.0,42.0
5,↓1,5,↓1,maverick7749,Mav,7.0,2.0,6.5,10.0,9.0,5.0,2.0,41.5
6,↑2,6,↑2,crazybats_v,Casper,4.0,4.0,8.0,6.0,7.0,7.0,5.0,41.0
7,↓1,7,↓1,light_itachi_op,Lassi Sassy,3.0,6.0,7.5,7.0,7.0,7.0,2.0,39.5
8,↑1,8,↑1,slidemaster0547,Jason Duval,2.0,6.0,7.0,6.0,8.0,6.0,4.0,39.0
9,↑1,9,↑1,fezvaz,Vaz,1.0,3.0,6.5,8.0,8.0,8.0,4.0,38.5
9,↓2,9,↓2,khanatfarm,KHANatFARM,3.0,6.0,5.5,8.0,7.0,7.0,2.0,38.5
9,↑2,9,↑2,static_25,Static,4.0,6.0,3.5,9.0,5.0,6.0,5.0,38.5
10,↑2,12,—,insane_dwane,Insane_Dwane,2.0,0.0,8.5,5.0,9.0,8.0,5.0,37.5
11,↑1,13,↓1,roguehunter15,RogueHunter,3.0,5.0,5.5,3.0,8.0,8.0,4.0,36.5
12,↑2,14,↑1,apurv5411,APURV,0.0,0.0,6.5,8.0,9.0,8.0,3.0,34.5
13,↑2,15,↑1,emptycases,J,0.0,3.0,7.5,4.0,8.0,8.0,3.0,33.5
13,↑3,15,↑2,reflekt_11,Reflekt,0.0,6.0,4.5,3.0,9.0,6.0,5.0,33.5
14,↑2,17,—,vahgar,Beluga,2.0,5.0,3.5,10.0,3.0,5.0,4.0,32.5
15,↑2,18,↑1,gladiator30,Gladiator,1.0,2.0,7.0,5.0,6.0,6.0,5.0,32.0
15,↓2,18,↓4,rishavmaiti,rishavmaiti,1.0,4.0,6.0,11.0,5.0,5.0,0.0,32.0
16,↑3,20,↑1,hungry_wolf,HungrY WolF,3.0,4.0,6.5,4.0,2.0,6.0,4.0,29.5
17,↑1,21,↓1,billuda,BILLUDA,3.0,4.0,9.5,6.0,2.0,2.0,2.0,28.5
17,↑2,21,—,gooffyluffyy,Luffy,1.0,7.0,4.5,5.0,4.0,4.0,3.0,28.5
18,↑2,23,—,astrobot_7,PS_USER,0.0,7.0,6.0,6.0,2.0,4.0,3.0,28.0
18,↑4,23,↑3,max._.caulfield,Max,6.0,1.0,3.0,1.0,4.0,8.0,5.0,28.0
19,↑1,25,↓2,roarycat,RoaryCat,2.0,7.0,5.0,8.0,2.0,1.0,2.0,27.0
20,↑1,26,↓1,sriprakash,Sri Prakash,0.0,6.0,5.0,2.0,5.0,6.0,0.0,24.0
21,↑5,27,↑4,csharp21,CSharp,0.0,4.0,3.0,2.0,3.0,6.0,4.0,22.0
21,↑4,27,↑3,elprofesor6338,Èl Profesor™,0.0,4.0,4.0,9.0,4.0,0.0,1.0,22.0
21,↑2,27,—,ind_mafia_sahil,IND_Mafia_Sahil,3.0,3.0,9.0,6.0,1.0,0.0,0.0,22.0
22,↑2,30,↓2,dag_21,daggr,0.0,4.0,3.5,5.0,2.0,7.0,0.0,21.5
22,↑2,30,↓2,the_mizer,DrVimp,1.0,3.0,5.5,8.0,4.0,0.0,0.0,21.5
23,↑6,32,↑2,aaryangupta23,Aaryan,0.0,0.0,0.0,4.0,7.0,1.0,2.0,14.0
23,↑4,32,—,gamerpradosh,Gamer Pradosh,0.0,0.0,0.0,5.0,7.0,2.0,0.0,14.0
23,↑6,32,↑2,gane_sh,Gane_sh,0.0,3.0,0.0,5.0,1.0,3.0,2.0,14.0
23,↑6,32,↑2,pkmkb6011,Sunny Paaji,2.0,2.0,3.0,1.0,3.0,1.0,2.0,14.0
24,↑4,36,↓3,lelouch1806,lelouch,0.0,1.0,1.5,1.0,6.0,4.0,0.0,13.5
25,↑4,37,↓3,darkwolf_newbie,Darkwolf,1.0,4.0,3.0,4.0,0.0,0.0,0.0,12.0
25,↑4,37,↓3,kakashi019805,Kakashi,0.0,0.0,2.0,5.0,5.0,0.0,0.0,12.0
26,↑4,39,—,deadshot06.,,0.0,0.0,2.0,2.0,5.0,1.0,0.0,10.0
27,↑4,40,—,jubilant_chipmunk_76062,,0.0,0.0,2.5,0.0,5.0,1.0,0.0,8.5
28,↑4,41,—,fullmetal77,FullMetal77,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0
29,↑4,42,—,iamthathit,IamthatHit,0.0,3.0,3.5,0.0,0.0,0.0,0.0,6.5
30,↑4,43,—,1nv1nc1b1e18,Him.,2.0,0.0,1.0,0.0,2.0,1.0,0.0,6.0
30,↑4,43,—,ashmrth,Ashmrth,4.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0
30,↑4,43,—,harish_datta_,Harish_datta_,0.0,0.0,2.0,4.0,0.0,0.0,0.0,6.0
30,↑4,43,—,jerry0_o,Jerry0_0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,6.0
