Dense Rank,Standard Rank,Username,Display Name,Match_1_Margin_Short,Match_1_Points,Match_2_Margin_Short,Match_2_Points,Match_3_Margin_Short,Match_3_Points,Match_4_Margin_Short,Match_4_Points,Match_5_Margin_Short,Match_5_Points,Match_6_Margin_Short,Match_6_Points,Total_Points
1,1,emptycases,J,21-30R,0.0,3-4W,3.0,2-3W,3.0,41-60R,0.0,21-30R,0.0,3-4W,0.0,6.0
1,1,thewebshooter,TheWebShooter,31-40R,0.0,3-4W,3.0,2-3W,3.0,41-60R,0.0,31-40R,0.0,3-4W,0.0,6.0
2,3,apurv5411,APURV,21-30R,0.0,7-8W,0.0,4-5W,0.0,1-10R,0.0,1-10R,3.0,5-6W,0.0,3.0
2,3,billuda,BILLUDA,21-30R,0.0,1-2W,0.0,4-5W,0.0,1-10R,0.0,1-10R,3.0,7-8W,0.0,3.0
2,3,cdgamers14,cdgamers😎,,,,,2-3W,3.0,41-60R,0.0,---,0.0,---,0.0,3.0
2,3,gane_sh,Gane_sh,,,7-8W,0.0,2-3W,3.0,---,0.0,---,0.0,---,0.0,3.0
2,3,gladiator30,Gladiator,1-10R,0.0,7-8W,0.0,8-10W,0.0,1-10R,0.0,1-10R,3.0,1-2W,0.0,3.0
2,3,gooffyluffyy,Luffy,11-20R,0.0,3-4W,3.0,8-10W,0.0,11-20R,0.0,31-40R,0.0,7-8W,0.0,3.0
2,3,light_itachi_op,Lassi Sassy,41+R,0.0,3-4W,3.0,6-7W,0.0,---,0.0,---,0.0,3-4W,0.0,3.0
2,3,maverick7749,Mav,11-20R,0.0,3-4W,3.0,6-7W,0.0,41-60R,0.0,11-20R,0.0,1-2W,0.0,3.0
2,3,max._.caulfield,Max,21-30R,0.0,9-10W,0.0,2-3W,3.0,11-20R,0.0,21-30R,0.0,5-6W,0.0,3.0
2,3,oracle_priest,oracle_priest,11-20R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,9-10W,3.0,3.0
2,3,pkmkb6011,Sunny Paaji,,,,,,,11-20R,0.0,---,0.0,9-10W,3.0,3.0
2,3,roguehunter15,RogueHunter,21-30R,0.0,3-4W,3.0,4-5W,0.0,41-60R,0.0,21-30R,0.0,3-4W,0.0,3.0
2,3,slidemaster0547,Jason Duval,21-30R,0.0,3-4W,3.0,4-5W,0.0,1-10R,0.0,31-40R,0.0,1-2W,0.0,3.0
2,3,static_25,Static,21-30R,0.0,3-4W,3.0,4-5W,0.0,41-60R,0.0,21-30R,0.0,1-2W,0.0,3.0
3,17,_simplet0n,ZePHyR,,,,,,,21-40R,0.0,---,0.0,---,0.0,0.0
3,17,aaryangupta23,Aaryan,,,,,,,,,,,7-8W,0.0,0.0
3,17,ashmrth,Ashmrth,11-20R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
3,17,astrobot_7,PS_USER,21-30R,0.0,5-6W,0.0,4-5W,0.0,61+R,0.0,21-30R,0.0,3-4W,0.0,0.0
3,17,crazybats_v,Casper,41+R,0.0,9-10W,0.0,6-7W,0.0,61+R,0.0,11-20R,0.0,5-6W,0.0,0.0
3,17,csharp21,CSharp,21-30R,0.0,9-10W,0.0,6-7W,0.0,11-20R,0.0,21-30R,0.0,---,0.0,0.0
3,17,dag_21,daggr,,,9-10W,0.0,---,0.0,---,0.0,21-30R,0.0,---,0.0,0.0
3,17,darkwolf_newbie,Darkwolf,,,,,,,21-40R,0.0,---,0.0,---,0.0,0.0
3,17,dhanda_,Hank Schrader,,,,,6-7W,0.0,---,0.0,---,0.0,---,0.0,0.0
3,17,elprofesor6338,Èl Profesor™,,,,,4-5W,0.0,---,0.0,---,0.0,---,0.0,0.0
3,17,fezvaz,Vaz,21-30R,0.0,1-2W,0.0,4-5W,0.0,21-40R,0.0,31-40R,0.0,1-2W,0.0,0.0
3,17,gamerpradosh,Gamer Pradosh,,,7-8W,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
3,17,hungry_wolf,HungrY WolF,21-30R,0.0,---,0.0,6-7W,0.0,21-40R,0.0,21-30R,0.0,1-2W,0.0,0.0
3,17,ind_mafia_sahil,IND_Mafia_Sahil,41+R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
3,17,indianduder,boring-life,,,,,4-5W,0.0,---,0.0,---,0.0,---,0.0,0.0
3,17,insane_dwane,Insane_Dwane,1-10R,0.0,SO,0.0,SO,0.0,11-20R,0.0,11-20R,0.0,1-2W,0.0,0.0
3,17,jadelessbarukan,jadeless,21-30R,0.0,7-8W,0.0,4-5W,0.0,11-20R,0.0,11-20R,0.0,7-8W,0.0,0.0
3,17,jerry0_o,Jerry0_0,,,,,,,21-40R,0.0,---,0.0,---,0.0,0.0
3,17,khanatfarm,KHANatFARM,31-40R,0.0,9-10W,0.0,6-7W,0.0,21-40R,0.0,11-20R,0.0,1-2W,0.0,0.0
3,17,milkanananaannanan,Milk,,,,,,,21-40R,0.0,---,0.0,---,0.0,0.0
3,17,reflekt_11,Reflekt,31-40R,0.0,---,0.0,8-10W,0.0,21-40R,0.0,41+R,0.0,5-6W,0.0,0.0
3,17,rishavmaiti,rishavmaiti,11-20R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
3,17,roarycat,RoaryCat,21-30R,0.0,7-8W,0.0,6-7W,0.0,SO,0.0,SO,0.0,SO,0.0,0.0
3,17,sriprakash,Sri Prakash,11-20R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
3,17,thefarzi,Farzi,21-30R,0.0,5-6W,0.0,4-5W,0.0,41-60R,0.0,11-20R,0.0,3-4W,0.0,0.0
3,17,tushar07019,,11-20R,0.0,7-8W,0.0,6-7W,0.0,1-10R,0.0,11-20R,0.0,7-8W,0.0,0.0
3,17,vahgar,Beluga,31-40R,0.0,1-2W,0.0,6-7W,0.0,21-40R,0.0,21-30R,0.0,1-2W,0.0,0.0
3,17,vinnu7980,Vinnu,11-20R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
3,17,weezyf.baby_,WEEZY F. Baby,,,7-8W,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
