Dense Rank,Standard Rank,Username,Display Name,Match_1_Team_Short,Match_1_Points,Match_2_Team_Short,Match_2_Points,Match_3_Team_Short,Match_3_Points,Match_4_Team_Short,Match_4_Points,Match_5_Team_Short,Match_5_Points,Match_6_Team_Short,Match_6_Points,Match_7_Team_Short,Match_7_Points,Match_8_Team_Short,Match_8_Points,Match_9_Team_Short,Match_9_Points,Total_Points
1,1,jadelessbarukan,jadeless,LSG,0.0,PBKS,1.0,DC,1.0,MI,1.0,PBKS,1.0,GT,2.0,LSG,2.0,RCB,2.0,MI,2.0,12.0
2,2,rishavmaiti,rishavmaiti,CSK,1.0,PBKS,1.0,DC,1.0,MI,1.0,PBKS,1.0,GT,2.0,RR,0.0,RCB,2.0,MI,2.0,11.0
3,3,maverick7749,Mav,LSG,0.0,PBKS,1.0,DC,1.0,MI,1.0,PBKS,1.0,GT,2.0,RR,0.0,RCB,2.0,MI,2.0,10.0
3,3,thefarzi,Farzi,LSG,0.0,KKR,0.0,DC,1.0,MI,1.0,RCB,0.0,GT,2.0,LSG,2.0,RCB,2.0,MI,2.0,10.0
3,3,thewebshooter,TheWebShooter,LSG,0.0,PBKS,1.0,DC,1.0,MI,1.0,PBKS,1.0,GT,2.0,LSG,2.0,PBKS,0.0,MI,2.0,10.0
3,3,vahgar,Allen The Alien,CSK,1.0,PBKS,1.0,RR,0.0,MI,1.0,PBKS,1.0,GT,2.0,RR,0.0,RCB,2.0,MI,2.0,10.0
4,7,elprofesor6338,Èl Profesor™,CSK,1.0,KKR,0.0,DC,1.0,MI,1.0,RCB,0.0,GT,2.0,RR,0.0,RCB,2.0,MI,2.0,9.0
4,7,static_25,Static,CSK,1.0,PBKS,1.0,DC,1.0,MI,1.0,PBKS,1.0,GT,2.0,RR,0.0,PBKS,0.0,MI,2.0,9.0
5,9,apurv5411,APURV,LSG,0.0,PBKS,1.0,DC,1.0,SRH,0.0,RCB,0.0,DC,0.0,LSG,2.0,RCB,2.0,MI,2.0,8.0
5,9,fezvaz,Vaz,,,KKR,0.0,DC,1.0,MI,1.0,RCB,0.0,DC,0.0,LSG,2.0,RCB,2.0,MI,2.0,8.0
