Dense Rank,Standard Rank,Username,Display Name,Match_1_Team_Short,Match_1_Points,Match_2_Team_Short,Match_2_Points,Match_3_Team_Short,Match_3_Points,Match_4_Team_Short,Match_4_Points,Match_5_Team_Short,Match_5_Points,Match_6_Team_Short,Match_6_Points,Total_Points
1,1,crazybats_v,Casper,SRH,0.0,MI,0.0,CSK,1.0,KKR,0.0,PBKS,2.0,GT,2.0,5.0
1,1,gladiator30,Gladiator,SRH,0.0,MI,0.0,CSK,1.0,KKR,0.0,PBKS,2.0,GT,2.0,5.0
1,1,insane_dwane,Insane_Dwane,SRH,0.0,GT,1.0,KKR,0.0,RCB,0.0,PBKS,2.0,GT,2.0,5.0
1,1,max._.caulfield,Max,SRH,0.0,GT,1.0,KKR,0.0,RCB,0.0,PBKS,2.0,GT,2.0,5.0
1,1,reflekt_11,Reflekt,DC,0.0,MI,0.0,CSK,1.0,RCB,0.0,PBKS,2.0,GT,2.0,5.0
1,1,static_25,Static,SRH,0.0,MI,0.0,CSK,1.0,RCB,0.0,PBKS,2.0,GT,2.0,5.0
2,7,csharp21,CSharp,DC,0.0,GT,1.0,CSK,1.0,RCB,0.0,PBKS,2.0,---,0.0,4.0
2,7,fezvaz,Vaz,DC,0.0,MI,0.0,KKR,0.0,RCB,0.0,PBKS,2.0,GT,2.0,4.0
2,7,hungry_wolf,HungrY WolF,DC,0.0,---,0.0,KKR,0.0,RCB,0.0,PBKS,2.0,GT,2.0,4.0
2,7,roguehunter15,RogueHunter,DC,0.0,MI,0.0,KKR,0.0,RCB,0.0,PBKS,2.0,GT,2.0,4.0
2,7,slidemaster0547,Jason Duval,DC,0.0,MI,0.0,KKR,0.0,RCB,0.0,PBKS,2.0,GT,2.0,4.0
2,7,thefarzi,Farzi,DC,0.0,MI,0.0,KKR,0.0,RCB,0.0,PBKS,2.0,GT,2.0,4.0
2,7,thewebshooter,TheWebShooter,DC,0.0,MI,0.0,KKR,0.0,KKR,0.0,PBKS,2.0,GT,2.0,4.0
2,7,tushar07019,,DC,0.0,MI,0.0,KKR,0.0,RCB,0.0,PBKS,2.0,GT,2.0,4.0
2,7,vahgar,Beluga,DC,0.0,GT,1.0,CSK,1.0,RCB,0.0,PBKS,2.0,DC,0.0,4.0
3,16,apurv5411,APURV,DC,0.0,GT,1.0,KKR,0.0,RCB,0.0,PBKS,2.0,DC,0.0,3.0
3,16,astrobot_7,PS_USER,DC,0.0,MI,0.0,CSK,1.0,KKR,0.0,PBKS,2.0,DC,0.0,3.0
3,16,emptycases,J,DC,0.0,GT,1.0,KKR,0.0,KKR,0.0,PBKS,2.0,DC,0.0,3.0
3,16,gooffyluffyy,Luffy,SRH,0.0,MI,0.0,CSK,1.0,KKR,0.0,RR,0.0,GT,2.0,3.0
3,16,jadelessbarukan,jadeless,DC,0.0,MI,0.0,CSK,1.0,RCB,0.0,PBKS,2.0,DC,0.0,3.0
4,21,aaryangupta23,Aaryan,,,,,,,,,,,GT,2.0,2.0
