Username,Display Name,Team Voted Short,Team Voted,Points
.selmonbhai,Tanjiro kamado,SRH,Sunrisers Hyderabad,0
ashmrth,Ashmrth,LSG,Lucknow Super Giants,1
asterayah,Zarathon,LSG,Lucknow Super Giants,1
astrobot_7,PS_USER,SRH,Sunrisers Hyderabad,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,LSG,Lucknow Super Giants,1
croco_boya,Croco,LSG,Lucknow Super Giants,1
dag_21,daggr,SRH,Sunrisers Hyderabad,0
darkwolf_newbie,Darkwolf,SRH,Sunrisers Hyderabad,0
emptycases,J,SRH,Sunrisers Hyderabad,0
fawaz4413,,SRH,Sunrisers Hyderabad,0
fezvaz,Vaz,SRH,Sunrisers Hyderabad,0
gladiator30,Gladiator,SRH,Sunrisers Hyderabad,0
gooffyluffyy,Luffy,SRH,Sunrisers Hyderabad,0
hungry_wolf,HungrY_WolF,SRH,Sunrisers Hyderabad,0
ind_mafia_sahil,IND_Mafia_Sahil,SRH,Sunrisers Hyderabad,0
jadelessbarukan,jadeless,SRH,Sunrisers Hyderabad,0
khanatfarm,KHANatFARM,SRH,Sunrisers Hyderabad,0
light_itachi_op,Monkey Uzumaki,SRH,Sunrisers Hyderabad,0
maverick7749,Mav,LSG,Lucknow Super Giants,1
max._.caulfield,Max,SRH,Sunrisers Hyderabad,0
nftprofessor,NFTProfessor,SRH,Sunrisers Hyderabad,0
nullpixel96,Nullpixel96,SRH,Sunrisers Hyderabad,0
reflekt_11,Reflekt,SRH,Sunrisers Hyderabad,0
roarycat,RoaryCat,SRH,Sunrisers Hyderabad,0
roguehunter15,RogueHunter,SRH,Sunrisers Hyderabad,0
sauzz,Sauzz,SRH,Sunrisers Hyderabad,0
slidemaster0547,Slide Master,LSG,Lucknow Super Giants,1
sriprakash,Sri Prakash,SRH,Sunrisers Hyderabad,0
static_25,Static,SRH,Sunrisers Hyderabad,0
the_mizer,DrVimp,SRH,Sunrisers Hyderabad,0
thefarzi,Farzi,SRH,Sunrisers Hyderabad,0
thewebshooter,TheWebShooter,SRH,Sunrisers Hyderabad,0
tushar07019,,SRH,Sunrisers Hyderabad,0
vader8726,vader,LSG,Lucknow Super Giants,1
vahgar,Allen The Alien,SRH,Sunrisers Hyderabad,0
