Username,Display Name,Team Voted Short,Team Voted,Points
1nv1nc1b1e18,Him.,GT,Gujarat Titans,1
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,MI,Mumbai Indians,0
crazybats_v,Casper,MI,Mumbai Indians,0
elprofesor6338,Èl Profesor™,MI,Mumbai Indians,0
emptycases,J,MI,Mumbai Indians,0
fawaz4413,,GT,Gujarat Titans,1
gladiator30,Gladiator,MI,Mumbai Indians,0
gooffyluffyy,Luffy,GT,Gujarat Titans,1
hungry_wolf,HungrY_WolF,MI,Mumbai Indians,0
ind_mafia_sahil,IND_Mafia_Sahil,MI,Mumbai Indians,0
insane_dwane,Insane_Dwane,GT,Gujarat Titans,1
jadelessbarukan,jadeless,MI,Mumbai Indians,0
light_itachi_op,Monkey Uzumaki,MI,Mumbai Indians,0
maverick7749,Mav,GT,Gujarat Titans,1
max._.caulfield,Max,GT,Gujarat Titans,1
nullpixel96,Nullpixel96,GT,Gujarat Titans,1
pkmkb6011,Sunny Paaji,GT,Gujarat Titans,1
rishavmaiti,rishavmaiti,MI,Mumbai Indians,0
roarycat,RoaryCat,MI,Mumbai Indians,0
roguehunter15,RogueHunter,MI,Mumbai Indians,0
shieldofachielles,shield of Achielles,GT,Gujarat Titans,1
slidemaster0547,Slide Master,MI,Mumbai Indians,0
static_25,Static,GT,Gujarat Titans,1
the_mizer,DrVimp,MI,Mumbai Indians,0
thefarzi,Farzi,GT,Gujarat Titans,1
thewebshooter,TheWebShooter,GT,Gujarat Titans,1
tushar07019,,MI,Mumbai Indians,0
vahgar,Allen The Alien,MI,Mumbai Indians,0
