Username,Display Name,Team Voted Short,Team Voted,Points
ashmrth,Ashmrth,RR,Rajasthan Royals,1
bigshikki,BigShik,RR,Rajasthan Royals,1
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,CSK,Chennai Super Kings,0
crazybats_v,Casper,RR,Rajasthan Royals,1
croco_boya,Croco,CSK,Chennai Super Kings,0
dag_21,daggr,CSK,Chennai Super Kings,0
elprofesor6338,Èl Profesor™,CSK,Chennai Super Kings,0
fawaz4413,,CSK,Chennai Super Kings,0
fezvaz,Vaz,CSK,Chennai Super Kings,0
gamerpradosh,Gamer Pradosh,CSK,Chennai Super Kings,0
gladiator30,Gladiator,CSK,Chennai Super Kings,0
gooffyluffyy,Luffy,CSK,Chennai Super Kings,0
hungry_wolf,HungrY_WolF,RR,Rajasthan Royals,1
ind_mafia_sahil,IND_Mafia_Sahil,CSK,Chennai Super Kings,0
jadelessbarukan,jadeless,RR,Rajasthan Royals,1
khanatfarm,KHANatFARM,RR,Rajasthan Royals,1
light_itachi_op,Monkey Uzumaki,CSK,Chennai Super Kings,0
maverick7749,Mav,RR,Rajasthan Royals,1
max._.caulfield,Max,RR,Rajasthan Royals,1
reflekt_11,Reflekt,CSK,Chennai Super Kings,0
rishavmaiti,rishavmaiti,CSK,Chennai Super Kings,0
roarycat,RoaryCat,RR,Rajasthan Royals,1
roguehunter15,RogueHunter,RR,Rajasthan Royals,1
shieldofachielles,shield of Achielles,CSK,Chennai Super Kings,0
slidemaster0547,Slide Master,CSK,Chennai Super Kings,0
sriprakash,Sri Prakash,CSK,Chennai Super Kings,0
static_25,Static,CSK,Chennai Super Kings,0
the_mizer,DrVimp,CSK,Chennai Super Kings,0
thefarzi,Farzi,CSK,Chennai Super Kings,0
thewebshooter,TheWebShooter,RR,Rajasthan Royals,1
tushar07019,,CSK,Chennai Super Kings,0
vahgar,Allen The Alien,RR,Rajasthan Royals,1
